EventTime,DeviceName,RSSI,SNR,Description
9/17/2020 18:22,Dry Contact Sensor 01,-40,9.5,Contacts opened
9/17/2020 18:22,Dry Contact Sensor 01,-43,9.8,Contacts Shorted
9/17/2020 18:21,Dry Contact Sensor 01,-41,8.8,Contacts opened
9/17/2020 18:21,Dry Contact Sensor 01,-47,8,Contacts opened
9/17/2020 18:20,Dry Contact Sensor 01,-43,10.5,Contacts Shorted
9/17/2020 18:20,Dry Contact Sensor 01,-45,10.5,Contacts opened
9/17/2020 18:20,Dry Contact Sensor 01,-39,7.8,Contacts Shorted
9/17/2020 18:20,Dry Contact Sensor 01,-47,11,Contacts opened
9/17/2020 18:19,Dry Contact Sensor 01,-38,7,Contacts Shorted
9/17/2020 18:19,Dry Contact Sensor 01,-38,9.8,Contacts opened
9/17/2020 18:19,Dry Contact Sensor 01,-38,7.5,Contacts Shorted
9/17/2020 18:18,Dry Contact Sensor 01,-42,10.5,Contacts opened
9/17/2020 18:18,Dry Contact Sensor 01,-43,10,Contacts Shorted
9/17/2020 18:13,Dry Contact Sensor 01,-59,9,Contacts opened
9/17/2020 18:13,Dry Contact Sensor 01,-49,8.5,Contacts Shorted
9/17/2020 18:10,Dry Contact Sensor 01,-35,10.2,Contacts opened
9/17/2020 18:10,Dry Contact Sensor 01,-39,7.8,Contacts Shorted
9/17/2020 18:09,Dry Contact Sensor 01,-33,10,Contacts opened
9/17/2020 18:09,Dry Contact Sensor 01,-30,8,Contacts Shorted
9/17/2020 18:07,Dry Contact Sensor 01,-28,9.2,Contacts opened
9/17/2020 18:05,Dry Contact Sensor 01,-37,9.8,Contacts opened
9/17/2020 18:04,Dry Contact Sensor 01,-31,9,Contacts Shorted
9/17/2020 18:02,Dry Contact Sensor 01,-35,10.2,Contacts opened
9/17/2020 18:02,Dry Contact Sensor 01,-29,9.2,Contacts Shorted
9/17/2020 17:53,Dry Contact Sensor 01,-36,8.8,Contacts opened
9/17/2020 17:53,Dry Contact Sensor 01,-37,10.2,Contacts Shorted
9/17/2020 17:52,Dry Contact Sensor 01,-33,7.8,Contacts opened
9/17/2020 17:52,Dry Contact Sensor 01,-36,9.5,Contacts Shorted
9/17/2020 17:52,Dry Contact Sensor 01,-37,8.8,Contacts opened
9/17/2020 17:52,Dry Contact Sensor 01,-35,9.2,Contacts Shorted
9/17/2020 17:52,Dry Contact Sensor 01,-33,9.8,Contacts opened
9/17/2020 17:52,Dry Contact Sensor 01,-36,7.2,Contacts Shorted
9/17/2020 17:51,Dry Contact Sensor 01,-38,10,Contacts opened
9/17/2020 17:51,Dry Contact Sensor 01,-33,9.5,Contacts Shorted
9/17/2020 17:31,Dry Contact Sensor 01,-36,6.5,Contacts opened
9/17/2020 17:31,Dry Contact Sensor 01,-38,9.8,Contacts Shorted
9/17/2020 17:31,Dry Contact Sensor 01,-41,7,Contacts opened
9/17/2020 17:31,Dry Contact Sensor 01,-38,10,Contacts Shorted
9/17/2020 17:31,Dry Contact Sensor 01,-41,9.2,Contacts opened
9/17/2020 17:31,Dry Contact Sensor 01,-35,9.5,Contacts Shorted
9/17/2020 17:31,Dry Contact Sensor 01,-42,8.2,Contacts Shorted
9/17/2020 17:31,Dry Contact Sensor 01,-45,8,Contacts opened
9/17/2020 17:30,Dry Contact Sensor 01,-44,8,Contacts Shorted
9/17/2020 17:25,Dry Contact Sensor 01,-48,9,Contacts opened
9/17/2020 17:25,Dry Contact Sensor 01,-29,10,Contacts Shorted
9/17/2020 17:25,Dry Contact Sensor 01,-30,10.8,Contacts opened
